"date","All School","Board of Education of the City of Chicago","Clark County School District (NV)","Los Angeles Unified School District (CA)","School District of Miami-Dade County","Houston Independent School District (TX)"
2019-10-01,131.949420121321,122.721632778769,141.430238855343,114.9421658815,155.155237414465,127.066153798999
2019-10-08,132.749974885134,125.386747948209,142.402925632545,114.233423003136,156.028773128381,127.405006429475
2019-10-15,131.063112810437,122.279707443548,141.92861130344,112.231903904082,155.959150573161,127.063299114267
2019-10-22,129.04792379243,120.708341018715,139.45855567937,109.407646602296,150.90392044155,127.731746100721
2019-10-29,128.039870275468,118.249459765332,138.054386143286,109.746670475242,149.286971841906,127.79102494764
2019-11-05,128.489596573468,121.044858726547,136.769343498726,110.326955098706,149.112140237816,126.324160892744
2019-11-12,129.692479299668,122.240949871343,137.746190010898,111.248209569414,151.557594793877,127.936187185277
2019-11-19,131.089465282655,124.658525407541,139.280038580574,113.011886714088,153.922716055024,128.820646762111
2019-11-26,132.312329406702,124.21151720096,142.247321667837,114.549866513329,155.582492381344,130.946957946191
2019-12-03,132.722054877882,123.825427459862,144.038036389537,116.242859442565,157.455852962561,129.419244739806
2019-12-10,132.96180000434,121.683403649318,144.532039119637,115.406504430344,156.306590166277,133.292767183034
2019-12-17,134.848590502036,125.102569495823,145.340360412336,116.743616455758,159.594458272407,134.43414559229
2019-12-24,136.97367513916,129.02497081068,145.777706685565,117.829800782748,160.224729308915,137.526129774655
2020-01-02,139.416350511389,133.397664424978,148.548077947688,120.853726103808,162.199397432278,138.082019757424
2020-01-08,140.649758017766,133.184982020822,151.565951114015,122.637950316638,160.843110848054,140.907119629264
2020-01-15,142.172314203848,133.687649507213,154.639728774555,124.717960615942,161.805110541791,143.781153894173
2020-01-22,143.793173853019,134.18492819146,157.206882368158,126.098889704287,166.468645498817,146.260284125495
2020-01-29,144.92081557087,136.720334988961,157.742521932752,126.698572038785,164.290777427112,148.688344576691
2020-02-05,144.827572528088,136.93795404833,159.146707764914,125.292309872458,166.63887356374,148.048080715141
2020-02-12,146.149702475197,140.501969962069,160.815915732955,125.158081071745,167.003892507558,147.823899130519
2020-02-19,146.893977172567,139.535741189594,164.740453840923,125.722423622253,173.979392924917,146.669290958646
2020-02-26,147.708726384936,138.814479604285,165.938205669877,127.24852081082,176.174038267777,147.360737644749
2020-03-04,132.4887662156,123.574586837893,153.252567344222,111.361320301111,151.649813819458,132.284638413408
2020-03-11,103.170676248146,105.685682004719,124.865684730734,73.844188947581,104.059665534518,105.230615436676
2020-03-18,86.906401499692,92.3585272687428,105.531239959009,55.0812969737602,83.8149603723364,90.7161722379956
2020-03-25,83.5474476858891,88.3433245293365,100.277160641019,51.2922037756047,88.9567123877367,89.6211132240798
2020-04-01,101.04612622963,92.2311068292068,114.955557264681,77.3792302952037,122.708082259791,109.789838976276
2020-04-08,107.32900533583,94.7103616899,123.350406798036,86.3320110881765,139.335000460461,116.175860446063
2020-04-15,110.953686092902,96.1351627542785,127.423481006996,92.2063575377931,143.625427758526,120.162123754897
2020-04-22,108.968318060906,95.9643182733616,123.086378222634,92.2349543227129,141.975246614608,118.536161781888
2020-04-29,108.149732651351,95.0475260883892,120.215504530443,92.5901795921185,136.36853649337,124.8007244585
2020-05-06,112.877197191419,95.4345859219701,123.492435892828,99.7274351306075,147.514201554104,132.054315273437
2020-05-13,119.918996343091,96.0074821616622,132.41111003044,107.823719225899,159.801835769537,141.516046656178
2020-05-20,126.459107144836,99.3115267466397,140.236050582349,116.089726359689,167.895492294948,144.11635738477
2020-05-27,131.609490634904,103.174949104739,146.474135068836,121.373278601697,171.754089120298,150.148265004344
2020-06-03,134.706027646682,107.376515043298,150.440373273565,122.991100310451,175.650813945958,150.974748670612
2020-06-10,138.19685758924,111.312837045158,153.324641068009,125.874675200565,178.635522324119,154.68399840277
2020-06-17,140.392233356332,115.849452527222,153.843953170243,127.751830724084,182.154276817732,156.476800156036
2020-06-24,142.179309907727,116.579317704606,155.409666647228,128.04071854174,188.39875040445,160.625363248167
2020-07-01,143.389882526828,116.244934592337,157.037011679222,129.334216664669,190.156325548252,160.407955338346
2020-07-08,145.811691901633,115.958419073843,160.787913017764,132.337530102256,192.376816948044,161.224537659373
2020-07-15,149.228163915043,118.197560047332,163.519758447961,138.650420136963,193.717782515062,161.317350820642
2020-07-22,151.704267744919,119.60484947229,167.232190695,141.052323461128,199.812680290464,162.799136183629
2020-07-29,154.82623486833,122.573479378084,171.064235111238,143.731253284957,205.11708179216,163.879855852501
2020-08-05,155.212036287191,124.301061438388,173.816862827031,141.678049158582,201.928345461856,166.186427745797
2020-08-12,156.254905514076,130.979488786637,173.986768045082,140.899593537154,199.62469774711,166.074530449652
2020-08-19,154.079637609001,129.687034602314,171.331116253181,137.586417539481,194.639957052886,167.044027924154
2020-08-26,152.484106849934,126.280896427507,168.075831125715,136.342947401073,193.221971675259,166.686452067631
2020-09-02,150.172005260544,118.432690360169,167.115739112694,134.22422673492,192.223258674882,166.782028773445
2020-09-09,151.236500669474,121.904747340531,167.443796092025,133.794791745931,191.754990369575,168.233779367235
2020-09-16,151.99011138271,126.274893034349,168.426522023848,132.814956674569,194.919834770583,167.60742342997
2020-09-23,151.072030190532,129.947217301385,167.283037522953,128.955155615032,193.777152639566,169.07756904621
2020-09-30,149.21769989193,128.418251921154,165.28916506243,126.411568392396,192.141391240811,168.675736430723
2020-10-07,148.976129978,129.551615084299,164.418766816158,126.155588768466,189.601664192233,166.102329255723
2020-10-14,149.468288913226,129.14206361704,164.40760546162,126.817644302276,184.976758031782,165.724618348908
2020-10-21,148.853816162148,127.143190449762,164.88466175488,125.708581874704,181.589912720147,163.788263804222
2020-10-28,149.854176881517,126.44217294696,165.757879480748,125.914345896912,183.422237209345,166.999598268993
2020-11-04,151.717715574672,127.879049315961,166.832934976983,128.366929482421,190.896867285898,167.32792415122
2020-11-12,155.220693766143,128.135965734358,170.76095308154,133.007803173265,197.179659841579,173.360258153313
2020-11-18,157.121671012952,127.663523657737,173.339180957011,136.444198178536,195.903485562069,175.194852462207
2020-11-25,158.709659977171,125.919178668807,176.777253715565,139.135841582659,192.787199621013,176.107420102713
2020-12-02,159.969854508485,128.819759568902,178.133311958506,139.634613246257,193.546976821511,175.881805710062
2020-12-09,160.822979374099,130.375684001754,179.929839645917,140.241905561534,194.663776188025,172.972618228654
2020-12-16,162.370744082013,134.594958228079,180.864721057127,141.503515620472,196.977551976617,172.120210038789
2020-12-23,162.902902745193,138.270550125945,180.177815733678,142.126434319047,196.797855900276,169.069202586842
2021-01-04,163.474312656965,144.892681007668,178.574555101799,141.186399371474,195.497752238896,169.709554385924
2021-01-08,163.520947138478,147.972293056314,178.039285328582,140.01576335407,196.043788737866,168.13620670504
2021-01-15,163.96007778428,148.5460170667,179.225042622721,139.859407613018,195.582778886168,165.821278053872
2021-01-22,165.705408752755,147.496976583918,181.555550622822,140.713263887743,199.510469233312,169.185824015803
2021-01-29,167.789213361663,146.682731219098,184.802637547814,141.731312788484,199.797207615948,173.382510692483
2021-02-05,169.397357694868,147.779788560082,186.122060122605,141.772635951226,199.977725533673,178.172318753923
2021-02-12,165.67673999629,144.090070899713,183.384634090601,136.280371004774,194.45742740458,174.385014954136
