date,All City,Chicago,Cincinnati,Columbus,Dallas,Houston,Las Vegas,Mesa,New York City,Philadelphia,Raleigh,Wichita,Arlington,Charlotte,Boston,Corpus Christi,El Paso,Kansas City,Memphis,Milwaukee,Phoenix,Portland,San Antonio,San Francisco,Seattle,Virginia Beach,Fort Worth,Oklahoma City,Omaha,Pittsburgh,New Orleans,Tucson,Albuquerque
18-12-2023,93.8954041,116.516813,101.7883627,104.0999688,114.4869515,65.95058481,113.5846369,108.8716715,78.39715236,83.38148385,107.5705949,126.3000347,92.40597033,63.87441658,83.87868437,134.2497002,89.65574555,73.32936733,62.14722838,94.58200813,77.55492915,98.53065601,92.23879172,54.78935189,83.3545825,105.57825,88.56782016,91.27786017,95.28783069,127.9578771,102.2766758,136.7017324,131.5420309
26-12-2023,96.9884039,117.9114878,106.7540932,108.4651131,117.3889268,69.9967348,118.1271338,110.8625961,81.90854024,86.19600545,105.4332531,130.1060006,95.10535139,70.78177203,88.02196839,139.8122894,91.78740173,78.90238888,65.41302907,101.9613874,79.92620489,100.9773511,98.65906988,58.74352802,86.41169595,109.010358,91.69789426,95.93128426,101.0884746,134.2361578,107.3350469,142.6971805,133.6309472
02-01-2024,99.90236501,119.0635147,109.7669201,109.044162,118.8006492,72.24208781,119.0599181,109.5567938,89.41946065,88.64025617,110.1377277,134.3273209,96.42827658,72.56982743,89.99285523,145.6566273,92.96556373,83.26258049,66.49347303,104.4238856,81.13325489,100.715478,100.8276831,62.60687404,85.0738835,111.0404598,94.24956,96.57225143,102.277621,134.5498549,107.1078857,143.8271767,131.9414337
08-01-2024,101.6752259,118.2295512,108.6990522,107.6282339,118.4452734,71.51143268,118.4134679,108.5499061,96.33418622,89.75963472,111.4489761,134.3423896,95.39041593,72.41860164,90.93730967,145.7428211,92.37845227,87.86025234,64.55532724,102.8875957,82.34672993,101.3983319,99.61483588,64.40184256,84.40942458,111.5073884,94.42199325,94.87393586,101.8721537,131.7342429,110.1142669,140.9090662,127.5423594
16-01-2024,99.68925981,117.4433851,106.745803,106.2126247,117.4640069,71.39044797,115.6164865,108.4860423,92.17322834,89.002132,114.1747632,133.3060327,94.31262702,71.35775127,89.38176843,145.45389,91.01595908,86.76737105,63.08835527,100.9011458,80.65729393,99.41046417,97.45555021,64.12819864,83.44846659,110.801438,93.28190742,93.12532138,97.77188027,129.0892036,108.7747348,135.5427144,127.2740332
22-01-2024,98.27513244,116.5622077,102.3790638,106.8773351,116.8129251,71.31945983,115.0274541,109.2470025,86.64754147,87.36808651,114.8125317,132.0435028,94.1514505,71.74582036,89.86717338,142.7059355,90.51198105,85.85009079,62.33449958,102.9075832,80.93488512,100.3463259,98.06865108,63.27120856,83.90600207,111.372306,91.99935279,94.2047349,97.69285225,129.4479963,110.1765692,135.3374262,125.9375183
29-01-2024,97.716829,116.9959972,104.8375832,108.1915929,117.4947708,72.26208962,115.7601391,109.9119165,82.65421188,86.21248156,114.9731451,133.2664229,94.44591044,71.77296462,90.65459671,143.2651567,90.33081637,84.82457967,62.32348083,106.4434093,82.1698392,100.9988319,98.46402819,63.47109807,84.10671395,111.8450625,91.73851895,95.99398719,98.55799959,131.166486,112.1112416,136.7685472,127.0382761
05-02-2024,99.26939883,117.5665068,105.9216206,109.5943272,117.4222469,71.06738259,118.7288203,110.7829885,84.86455191,85.7855289,115.4443327,135.85488,96.54862968,73.53562147,92.43801236,143.1847554,90.97243632,85.99502208,64.30538984,108.9626077,84.11141482,103.4285828,101.4342516,64.10653781,85.27565965,112.9502201,91.89135515,98.23833071,100.3289635,132.8215754,113.0362466,140.8605854,127.2727094
12-02-2024,100.1793679,118.247141,109.1280971,110.0224133,117.2449008,70.80372163,119.9769236,111.9046729,87.02887694,85.99112662,115.332099,138.360227,96.52221387,74.63835688,91.83741247,141.8331092,90.1541228,86.57491126,65.85733657,110.811336,84.47752308,102.8617875,101.361916,65.03201652,84.75149842,112.4187136,93.25283454,97.98278506,100.68212,131.7988021,114.854919,128.5468786,129.1826733
20-02-2024,99.66447482,117.9852659,106.774901,110.2269005,116.8441728,71.12419117,120.8601285,113.0063997,85.62681916,85.72167835,116.5986474,139.7550169,97.46915571,74.86392406,92.63464548,142.1755005,89.96686256,87.25043567,62.73070599,109.8025466,82.86976771,102.1894674,101.5697053,65.25527085,84.51156452,111.5849017,92.96012248,98.68110225,100.4884383,131.4193787,114.9937734,127.8870484,129.9130202
